学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
楚雄师范学院,,,,
百色学院,,,,
集美大学,,,,
漳州师范学院,,,,
重庆科技学院,,,,
金陵科技学院,,,,
吉林工商学院,,,,
赤峰学院,,,,
嘉兴学院,,,,
安庆师范学院,,,,
东北林业大学,556,179,528,57
哈尔滨师范大学,526,442,499,220
哈尔滨学院,526,832,499,650
黑龙江大学,559,860,544,470
东北农业大学,551,1010,527,232
哈尔滨理工大学,572,707,515,153
哈尔滨商业大学,545,1532,526,440
黑龙江中医药大学,535,409,518,65
佳木斯大学,526,1342,499,350
齐齐哈尔大学,526,1372,515,480
齐齐哈尔医学院,516,538,499,70
牡丹江医学院,516,426,,
牡丹江师范学院,519,801,499,985
黑龙江工程学院,526,1127,505,114
黑龙江科技学院,526,1703,504,137
黑龙江八一农垦大学,526,1032,500,231
哈尔滨体育学院,,30,500,
哈尔滨师范大学（阿城学院）,516,420,499,480
哈尔滨师范大学（呼兰学院）,518,488,499,585
大庆师范学院,516,657,495,433
绥化学院,516,419,489,570
黑河学院,516,429,489,475
黑龙江大学（软件学院）,526,375,,
哈尔滨理工大学（软件学院）,548,250,,
哈尔滨医科大学（大庆校区）,526,216,502,7
